crop,year,season,rainfall_mm,temperature,humidity,nitrogen,phosphorus,potassium,ph,area_hectares,irrigation,fertilizer_used,yield_tons_per_hectare
SYNTHETIC_DATA_NOTE,This dataset is synthetically generated for Maharashtra/Amravati region (2015-2024). For demonstration purposes only.,,,,,,,,,,,,
Soybean,2022,Kharif,803.7,30.2,61.7,108.4,45.3,188.5,7.02,299.73,0,0,1.82
Wheat,2015,Rabi,503.9,22.4,56.1,259.7,54.0,181.6,7.19,262.86,0,0,3.84
Cotton,2023,Kharif,749.2,28.6,51.8,164.0,40.0,210.8,6.94,482.85,1,1,2.53
Rice,2016,Kharif,1124.7,25.6,83.0,226.1,30.3,262.6,6.63,213.15,0,1,3.41
Maize,2016,Kharif,757.7,24.0,58.3,198.5,47.2,147.5,6.59,270.31,1,1,3.94
Cotton,2017,Kharif,750.1,27.6,47.9,174.7,36.7,267.2,7.44,353.72,1,1,2.21
Rice,2017,Kharif,1434.6,30.7,81.8,108.3,51.6,243.5,7.13,236.64,0,1,3.31
Soybean,2018,Kharif,802.1,25.4,63.5,132.5,61.6,189.0,6.63,453.88,0,1,3.42
Cotton,2024,Kharif,695.1,29.7,53.0,140.7,63.5,176.1,6.8,61.92,0,1,2.0
Soybean,2020,Kharif,748.1,27.0,70.7,101.0,54.6,177.7,6.38,110.16,1,1,3.34
Cotton,2015,Kharif,644.8,31.9,53.9,140.3,34.7,214.5,7.07,317.54,1,1,1.84
Turmeric,2020,Kharif,854.7,27.0,75.7,133.5,50.7,212.2,6.3,268.35,0,1,7.35
Rice,2021,Kharif,1316.7,29.3,88.3,247.7,65.3,227.0,6.71,468.43,0,1,5.12
Sugarcane,2019,Summer,1147.2,33.6,78.3,284.2,77.9,348.3,7.23,441.44,0,0,77.72
Turmeric,2016,Kharif,952.5,26.6,68.2,214.8,41.8,303.4,6.81,81.24,0,1,8.38
Rice,2015,Kharif,1070.2,31.1,81.9,195.1,52.0,292.0,6.67,271.73,0,1,4.18
Rice,2015,Kharif,1233.5,30.1,81.3,184.2,51.2,281.8,6.8,98.43,1,0,4.87
Soybean,2016,Kharif,760.8,25.2,65.4,128.9,55.6,217.9,6.34,278.84,1,1,4.07
Soybean,2024,Kharif,811.0,27.0,75.1,153.3,59.9,188.1,6.8,404.87,1,1,4.37
Soybean,2016,Kharif,619.3,31.6,69.8,108.2,60.9,182.2,6.15,47.9,1,0,1.89
Maize,2019,Kharif,640.9,30.3,64.1,255.8,45.7,180.7,6.61,229.18,1,0,4.43
Cotton,2023,Kharif,772.5,24.9,61.5,244.0,41.8,286.2,7.23,344.56,0,1,2.77
Cotton,2024,Kharif,949.8,27.5,59.8,141.2,39.2,140.2,6.63,178.63,1,0,1.68
Rice,2019,Kharif,1340.7,30.0,90.0,219.9,46.2,286.9,6.67,443.45,0,0,4.41
Rice,2017,Kharif,1320.6,29.7,83.7,192.7,41.1,216.4,6.25,322.0,0,1,4.34
Cotton,2019,Kharif,793.7,28.9,42.3,236.1,53.5,195.4,7.56,174.82,1,0,2.23
Soybean,2022,Kharif,810.1,29.3,60.6,111.9,80.0,125.9,6.26,433.69,1,0,2.33
Cotton,2018,Kharif,789.6,28.6,60.8,155.5,56.7,179.8,7.24,6.41,1,0,2.09
Rice,2018,Kharif,1451.0,30.6,87.3,201.9,45.5,182.4,6.7,473.15,1,0,3.74
Soybean,2024,Kharif,766.6,29.1,62.8,124.7,58.3,226.4,6.98,74.16,0,0,2.81
Wheat,2020,Rabi,524.7,18.8,66.5,249.8,62.7,219.4,6.43,352.84,0,1,3.2
Rice,2023,Kharif,1251.5,30.4,82.6,200.9,49.0,298.0,6.19,188.06,0,1,5.78
Wheat,2019,Rabi,514.0,21.7,52.5,236.2,44.6,152.7,6.91,348.77,0,1,3.0
Soybean,2019,Kharif,775.4,23.2,69.0,138.5,64.8,204.5,7.19,487.22,1,1,3.55
Maize,2019,Kharif,808.3,23.6,64.1,144.2,44.0,210.2,7.3,14.16,0,1,3.46
Maize,2019,Kharif,637.7,25.7,58.0,211.8,54.9,209.9,6.53,378.78,0,0,3.98
Wheat,2017,Rabi,560.0,24.1,46.8,272.1,63.8,184.8,7.09,260.56,1,1,4.28
Cotton,2020,Kharif,763.7,28.5,43.8,172.1,44.3,296.2,7.78,304.44,1,1,2.33
Maize,2024,Kharif,697.4,27.8,48.5,154.3,56.7,224.7,6.76,463.37,0,0,3.55
Cotton,2022,Kharif,828.2,28.2,64.9,141.6,29.6,222.0,6.79,206.42,1,1,2.14
Wheat,2024,Rabi,533.6,20.7,70.7,177.1,55.4,206.2,7.12,447.21,0,1,2.98
Wheat,2022,Rabi,535.1,25.3,59.6,300.0,66.2,195.5,7.32,242.78,1,1,4.42
Wheat,2023,Rabi,562.4,18.9,52.2,267.0,41.9,290.1,6.36,368.97,0,1,3.16
Rice,2022,Kharif,1215.3,31.4,73.5,127.2,44.8,215.3,6.74,293.68,1,1,3.43
Wheat,2022,Rabi,547.0,22.5,53.1,199.8,62.6,217.5,6.84,448.49,0,1,3.64
